,9000_steps_500_eval_shuffle_False_base_Prompt-Guard-86M_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b-chat_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b_bs_6
500,0.918,0.884,0.574
1000,0.95,0.986,0.978
1500,0.976,0.9,0.72
2000,0.98,0.988,0.988
2500,0.978,0.988,0.972
3000,0.978,0.978,0.992
3500,0.984,0.994,0.972
4000,0.978,0.996,0.996
4500,0.978,0.992,0.974
5000,0.978,0.996,0.972
5500,0.982,0.986,0.992
6000,0.982,0.996,0.974
6500,0.978,0.99,0.978
7000,0.978,1.0,0.99
7500,0.984,0.998,1.0
8000,0.982,0.994,0.996
8500,0.982,0.996,0.996
9000,0.984,1.0,1.0
