,9000_steps_500_eval_shuffle_False_base_Prompt-Guard-86M_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b-chat_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b_bs_6
500,0.7153362753391266,0.6271161609888076,0.497780170971324
1000,0.9023187001124024,0.9501636001467704,0.9421604405343532
1500,0.9574817517064512,0.791355823405087,0.5808359842821955
2000,0.9721928277667612,0.9695950527638196,0.8453392942547798
2500,0.971906053122133,0.9721872947355732,0.953304162818822
3000,0.97293447377719,0.967551215599291,0.9821138455569745
3500,0.982994961084798,0.979818874962628,0.9634099135398864
4000,0.9758425660752692,0.9915763933211564,0.990474770963192
4500,0.9790411225599236,0.9890836617425084,0.9774523160501848
5000,0.9765472241966052,0.9935301242768764,0.9759857753447724
5500,0.9835663565217982,0.9779602512056008,0.9879410378609318
6000,0.982533404255053,0.9940301880836488,0.97866415502131
6500,0.9775566235010048,0.98459086959064,0.9772856854679994
7000,0.9785377298474778,0.9974072448015212,0.986312023146078
7500,0.9863370146155356,0.9955020421147348,0.9997860287427902
8000,0.9822912761245388,0.9889067408144474,0.9937125035524368
8500,0.984228221237776,0.9914805341959,0.9863122922480106
9000,0.984648698279634,0.9971788640022278,0.99290545129776
