,9000_steps_500_eval_shuffle_False_base_Prompt-Guard-86M_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b-chat_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b_bs_6
500,0.1252132077254224,0.1152150136694198,0.1608895385425198
1000,0.1664141562506899,0.0901759740002266,0.1303034181493534
1500,0.135061007174246,0.2192797822703598,0.188202183662033
2000,0.1158545609697993,0.0963465167074854,0.0847086851606323
2500,0.1339804688899071,0.1097936766028602,0.1378691833466288
3000,0.1380570844587937,0.1250059342510555,0.0894980387458229
3500,0.0902429639595866,0.0778573618095189,0.1279108300141653
4000,0.1323927915651387,0.0616558313317677,0.0632600931067681
4500,0.1185029181239293,0.080767606306555,0.119774545046931
5000,0.1372005124256822,0.0588893642541336,0.1266613172083705
5500,0.1073051824595888,0.1034502794037224,0.0835150023432967
6000,0.1154536373208153,0.0534700685241315,0.1183561414926017
6500,0.1386345658120214,0.0945641888307947,0.1247586210932629
7000,0.1330208382233322,0.0229935821153845,0.0924839090186497
7500,0.0962510859878453,0.0359770595801135,0.0027560033161443
8000,0.1196295840719112,0.0741009187099117,0.0519798172274892
8500,0.1100529881871317,0.0621032071341622,0.0523699364135926
9000,0.1090577438110167,0.0238417300593565,0.0328021564965709
