,9000_steps_500_eval_shuffle_False_base_Prompt-Guard-86M_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b-chat_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b_bs_6
500,0.6722437552213669,0.5777387028634549,0.6788976519033313
1000,0.8478168618828058,0.2832445502043701,0.2639494502004236
1500,0.8365473201461137,0.9099531157314776,0.7726627891659736
2000,0.7373248822484165,0.8165006079636514,0.7390865664482117
2500,0.8546563098626211,0.8803047171290964,0.8927855075728148
3000,0.8831743949279189,0.9400539488485083,0.8971938316171291
3500,0.6376218108339236,0.8924618647955358,0.9158682333291508
4000,0.8675374415898696,0.804028993517626,0.6438415153754177
4500,0.794354737188667,0.8799140661174897,0.8872630115341162
5000,0.8426008806452155,0.7400411783852251,0.8991237359799561
5500,0.7166907483697869,0.9178292291047982,0.7855782452144485
6000,0.7603120458193589,0.7400778403660224,0.8636021820062888
6500,0.848780326185748,0.9300129278772512,0.8620841395604657
7000,0.8244391287174075,0.6205211400327244,0.819197535289255
7500,0.7736854599926155,0.5833262234166395,0.3138971969870304
8000,0.8270225879689679,0.7800554445828893,0.8171667704438951
8500,0.8070996723367134,0.6772160994090664,0.7153664000127464
9000,0.8047287351824344,0.613553502568393,0.7579608162259683
