,9000_steps_500_eval_shuffle_False_base_Prompt-Guard-86M_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b-chat_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b_bs_6
500,0.182130006889233,0.1440678837190427,0.151054747917766
1000,0.2199337818434902,0.2825772195914793,0.2177204317848338
1500,0.2872547486379827,0.1512386554392376,0.1567632347525115
2000,0.3698654869848107,0.2723362433945334,0.1947170851338613
2500,0.3093494589808631,0.2420006439146148,0.2106739558461016
3000,0.285512253529726,0.1901458133270801,0.2335594562993858
3500,0.4194319403856211,0.2307142748395512,0.2068098683672365
4000,0.3012673482611917,0.3259994608132545,0.3577158896423366
4500,0.3677046416492384,0.2694469159767967,0.2625499164471125
5000,0.3337628791972719,0.3768058943671117,0.2563577377019835
5500,0.4240108745688596,0.2235491343498709,0.3697636781482931
6000,0.4026491525037214,0.3828324573319734,0.2993591623931916
6500,0.3335363279137864,0.2085655021084128,0.3011847498316273
7000,0.3573207899146625,0.4300397456431624,0.3460542263883977
7500,0.4044908472821926,0.4277931299168225,0.3898593431667302
8000,0.3529652708074645,0.3497048620809666,0.331033286621258
8500,0.3763377816397363,0.4060633089951271,0.3767796028242341
9000,0.3794317934488603,0.429942651866142,0.3881088399470006
