,9000_steps_500_eval_shuffle_False_base_Prompt-Guard-86M_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b-chat_bs_6,9000_steps_500_eval_shuffle_False_base_llama-2-7b_bs_6
500,0.794,0.64,0.828
1000,0.906,0.23,0.134
1500,0.862,0.964,0.91
2000,0.76,0.842,0.858
2500,0.872,0.906,0.924
3000,0.89,0.95,0.912
3500,0.652,0.914,0.934
4000,0.876,0.806,0.67
4500,0.798,0.888,0.892
5000,0.838,0.746,0.902
5500,0.72,0.932,0.778
6000,0.762,0.752,0.858
6500,0.85,0.94,0.854
7000,0.822,0.628,0.822
7500,0.78,0.596,0.316
8000,0.824,0.786,0.824
8500,0.806,0.68,0.71
9000,0.804,0.61,0.752
